front_video_path,start_frame,window_frames,label,person,case,fold_id,split,stride_frames,fps
data/raw/Videos/Benhur/benhur_3_front.mp4,0,15,0,inference,benhur_3_front.mp4,inference,test,5,30.030105368790768
data/raw/Videos/Benhur/benhur_3_front.mp4,5,15,0,inference,benhur_3_front.mp4,inference,test,5,30.030105368790768
data/raw/Videos/Benhur/benhur_3_front.mp4,10,15,0,inference,benhur_3_front.mp4,inference,test,5,30.030105368790768
data/raw/Videos/Benhur/benhur_3_front.mp4,15,15,0,inference,benhur_3_front.mp4,inference,test,5,30.030105368790768
data/raw/Videos/Benhur/benhur_3_front.mp4,20,15,0,inference,benhur_3_front.mp4,inference,test,5,30.030105368790768
data/raw/Videos/Benhur/benhur_3_front.mp4,25,15,0,inference,benhur_3_front.mp4,inference,test,5,30.030105368790768
data/raw/Videos/Benhur/benhur_3_front.mp4,30,15,0,inference,benhur_3_front.mp4,inference,test,5,30.030105368790768
data/raw/Videos/Benhur/benhur_3_front.mp4,35,15,0,inference,benhur_3_front.mp4,inference,test,5,30.030105368790768
data/raw/Videos/Benhur/benhur_3_front.mp4,40,15,0,inference,benhur_3_front.mp4,inference,test,5,30.030105368790768
data/raw/Videos/Benhur/benhur_3_front.mp4,45,15,0,inference,benhur_3_front.mp4,inference,test,5,30.030105368790768
data/raw/Videos/Benhur/benhur_3_front.mp4,50,15,0,inference,benhur_3_front.mp4,inference,test,5,30.030105368790768
data/raw/Videos/Benhur/benhur_3_front.mp4,55,15,0,inference,benhur_3_front.mp4,inference,test,5,30.030105368790768
data/raw/Videos/Benhur/benhur_3_front.mp4,60,15,0,inference,benhur_3_front.mp4,inference,test,5,30.030105368790768
data/raw/Videos/Benhur/benhur_3_front.mp4,65,15,0,inference,benhur_3_front.mp4,inference,test,5,30.030105368790768
data/raw/Videos/Benhur/benhur_3_front.mp4,70,15,0,inference,benhur_3_front.mp4,inference,test,5,30.030105368790768
data/raw/Videos/Benhur/benhur_3_front.mp4,75,15,0,inference,benhur_3_front.mp4,inference,test,5,30.030105368790768
data/raw/Videos/Benhur/benhur_3_front.mp4,80,15,0,inference,benhur_3_front.mp4,inference,test,5,30.030105368790768
data/raw/Videos/Benhur/benhur_3_front.mp4,85,15,0,inference,benhur_3_front.mp4,inference,test,5,30.030105368790768
data/raw/Videos/Benhur/benhur_3_front.mp4,90,15,0,inference,benhur_3_front.mp4,inference,test,5,30.030105368790768
data/raw/Videos/Benhur/benhur_3_front.mp4,95,15,0,inference,benhur_3_front.mp4,inference,test,5,30.030105368790768
data/raw/Videos/Benhur/benhur_3_front.mp4,100,15,0,inference,benhur_3_front.mp4,inference,test,5,30.030105368790768
data/raw/Videos/Benhur/benhur_3_front.mp4,105,15,0,inference,benhur_3_front.mp4,inference,test,5,30.030105368790768
data/raw/Videos/Benhur/benhur_3_front.mp4,110,15,0,inference,benhur_3_front.mp4,inference,test,5,30.030105368790768
data/raw/Videos/Benhur/benhur_3_front.mp4,115,15,0,inference,benhur_3_front.mp4,inference,test,5,30.030105368790768
data/raw/Videos/Benhur/benhur_3_front.mp4,120,15,0,inference,benhur_3_front.mp4,inference,test,5,30.030105368790768
data/raw/Videos/Benhur/benhur_3_front.mp4,125,15,0,inference,benhur_3_front.mp4,inference,test,5,30.030105368790768
data/raw/Videos/Benhur/benhur_3_front.mp4,130,15,0,inference,benhur_3_front.mp4,inference,test,5,30.030105368790768
data/raw/Videos/Benhur/benhur_3_front.mp4,135,15,0,inference,benhur_3_front.mp4,inference,test,5,30.030105368790768
data/raw/Videos/Benhur/benhur_3_front.mp4,140,15,0,inference,benhur_3_front.mp4,inference,test,5,30.030105368790768
data/raw/Videos/Benhur/benhur_3_front.mp4,145,15,0,inference,benhur_3_front.mp4,inference,test,5,30.030105368790768
data/raw/Videos/Benhur/benhur_3_front.mp4,150,15,0,inference,benhur_3_front.mp4,inference,test,5,30.030105368790768
data/raw/Videos/Benhur/benhur_3_front.mp4,155,15,0,inference,benhur_3_front.mp4,inference,test,5,30.030105368790768
data/raw/Videos/Benhur/benhur_3_front.mp4,160,15,0,inference,benhur_3_front.mp4,inference,test,5,30.030105368790768
